stores,type,rx,tx,mem,cpu
1,arbiter,7525,3955,96567296,0.004681110324250801
1,arbiter,8810,4866,96620544,0.003533172727272727
1,arbiter,9877,5847,96624640,0.0019666364583333334
1,arbiter,10017,5847,96624640,0
1,arbiter,10087,5847,96624640,0
1,arbiter,10227,5917,96624640,0
1,arbiter,10367,6057,96624640,0
1,arbiter,10507,6057,96624640,0
1,arbiter,10577,6057,96624640,0
1,arbiter,10717,6057,96624640,0
1,arbiter,10857,6057,96624640,0
1,store,2923,2159,112717824,0.0061068599534904126
1,store,17455,51255,118358016,0.1562774404040404
1,store,596540,612766,130473984,0.6706262958333333
1,store,1466179,1263767,137924608,0.5607699604060914
1,store,2444172,2005801,144683008,0.5482249567839196
1,store,3543810,2745100,153333760,0.542469869035533
1,store,4652167,3554214,163278848,0.5580936211055276
1,store,5749272,4358279,170573824,0.5680240083769633
1,store,6941632,5179795,179748864,0.5806655878787879
1,store,8098147,6009378,189751296,0.5303785232227488
1,store,9249344,6831894,199716864,0.5627018616161616
1,driver,876,516,61947904,0.003246279382212277
1,driver,1454,926,101601280,0.8851121646464647
1,driver,57799,455543,114556928,0.5494874083333333
1,driver,145739,1184056,128651264,0.5188798934010153
1,driver,243957,1998930,137277440,0.4968597899497487
1,driver,357501,2947014,145715200,0.4767257319796954
1,driver,469439,3882152,153747456,0.44770873165829145
1,driver,579349,4802057,162242560,0.48404405863874345
1,driver,698287,5799401,170745856,0.47852786565656563
1,driver,818207,6805727,178450432,0.45933910900473934
1,driver,933735,7777702,186707968,0.4739051202020202
1,app,606,438,45907968,0.002154324536001053
1,app,38422,11377,86110208,0.7848750121212121
1,app,567693,145809,97689600,0.36034223958333333
1,app,1130547,287457,109023232,0.3776351664974619
1,app,1771584,449721,109670400,0.32890820703517587
1,app,2394378,604743,123887616,0.3440724426395939
1,app,3097661,778907,131108864,0.3085531256281407
1,app,3791986,952733,139984896,0.321868632460733
1,app,4472757,1120013,148643840,0.31529514343434345
1,app,5201939,1301693,157179904,0.3056170511848341
1,app,5905406,1475953,163868672,0.3107855696969697
2,arbiter,16331,7959,96649216,0.004453912582645054
2,arbiter,17151,7959,96649216,0
2,arbiter,17994,8578,96657408,0.00167709
2,arbiter,18841,9419,96657408,0.0016222844221105528
2,arbiter,18841,9419,96657408,0
2,arbiter,19758,10260,88711168,0.007902353768844222
2,arbiter,19828,10260,88711168,0
2,arbiter,19968,10260,88711168,0
2,arbiter,19968,10260,88711168,0
2,arbiter,20248,10260,88711168,0
2,arbiter,20248,10260,88711168,0
2,store,12625364,9236497,186843136,0.03452661916747338
2,store,13153080,9587546,187056128,0.265836223880597
2,store,13823199,10039656,187457536,0.327855521
2,store,14515073,10527950,188141568,0.3534495286432161
2,store,15136765,10937840,188485632,0.31427619396984924
2,store,15655167,11287671,189108224,0.3182304753768844
2,store,16236729,11652638,158056448,0.36244388514851483
2,store,16887127,12105127,158060544,0.3502292190954774
2,store,17553762,12603437,158060544,0.36564276119402983
2,store,18318568,13112822,158060544,0.3844110934673367
2,store,19026076,13582561,158674944,0.387537673
2,driver,1264177,10585089,163520512,0.030770118588700542
2,driver,1319219,11057541,163520512,0.2551392975124378
2,driver,1384377,11619217,163520512,0.291184554
2,driver,1448479,12180716,163520512,0.2903568974874372
