triplets,name,type,rx,tx,mem,cpu
1,arbiter,arbiter,7801,4227,96579584,0.00471919828115955
1,arbiter,arbiter,9122,5138,96624640,0.004305569948186529
1,arbiter,arbiter,9903,5979,96632832,0.002105273958333333
1,arbiter,arbiter,9973,5979,96632832,0.0000530234693877551
1,arbiter,arbiter,10043,6119,96632832,0
1,arbiter,arbiter,10253,6189,96632832,0
1,arbiter,arbiter,10393,6189,96632832,0
1,arbiter,arbiter,10463,6189,96632832,0
1,arbiter,arbiter,10533,6189,96632832,0
1,arbiter,arbiter,10743,6189,96632832,0
1,arbiter,arbiter,10743,6189,96632832,0
1,databox-store-mock-0,store,3445,2095,112558080,0.006812670111769159
1,databox-store-mock-0,store,47441,166937,119431168,0.26185735751295336
1,databox-store-mock-0,store,264785,769433,130211840,0.6044975145833333
1,databox-store-mock-0,store,1073818,1401802,136572928,0.5650950581632653
1,databox-store-mock-0,store,2104810,2174127,145174528,0.583711604040404
1,databox-store-mock-0,store,3129631,2929444,152375296,0.5234429948979592
1,databox-store-mock-0,store,4223569,3724567,162455552,0.5739938984455959
1,databox-store-mock-0,store,5377776,4562452,171683840,0.5597594895522388
1,databox-store-mock-0,store,6543367,5373183,179793920,0.5478709457286433
1,databox-store-mock-0,store,7603893,6166557,189054976,0.5391706111675126
1,databox-store-mock-0,store,8767029,6975175,198766592,0.5973590201058201
1,databox-driver-mock-0,driver,886,676,61095936,0.003143495573763192
1,databox-driver-mock-0,driver,1566,1016,93843456,0.5560829222797927
1,databox-driver-mock-0,driver,10379,68708,111329280,0.58002073125
1,databox-driver-mock-0,driver,91071,739777,123789312,0.55299445
1,databox-driver-mock-0,driver,196533,1605320,131547136,0.49783598787878786
1,databox-driver-mock-0,driver,301299,2467011,141041664,0.5040352336734694
1,databox-driver-mock-0,driver,411707,3383929,147296256,0.4648187264248705
1,databox-driver-mock-0,driver,529577,4368833,157179904,0.4767701014925373
1,databox-driver-mock-0,driver,644807,5362093,163762176,0.48280135075376884
1,databox-driver-mock-0,driver,751989,6253534,171794432,0.43837418984771576
